NIM,IP 1 ,IP 2,IP 3,IP 4,PREDIKAT
14650008,3.19,3.07,3.31,3.52,pujian
15650007,3.62,3.83,3.9,3.76,pujian
15650055,3.74,3.54,3.69,3.88,pujian
15650057,3.57,3.67,3.62,3.75,pujian
15650085,3.4,3.55,3.67,3.46,pujian
15650107,3.81,3.81,3.7,3.56,pujian
15650133,3.65,3.9,3.72,3.67,pujian
16650002,3.48,3.36,3.46,3.77,pujian
16650005,3.67,3.36,3.54,3.71,pujian
16650011,3.33,3.52,3.74,3.65,pujian
16650012,3.64,3.64,3.76,3.81,pujian
16650020,3.74,3.72,3.74,3.6,pujian
16650021,3.67,3.63,3.7,3.65,pujian
16650029,3.83,3.8,3.96,3.83,pujian
16650040,3.48,3.27,3.65,3.71,pujian
16650043,3.55,3.26,3.46,3.5,pujian
16650069,3.52,3.61,3.41,3.54,pujian
16650074,3.4,3.26,3.59,3.57,pujian
16650078,3.45,2.98,3.76,3.67,pujian
16650079,3.57,3.54,3.67,3.65,pujian
16650087,3.67,3.54,3.85,3.65,pujian
16650097,3.76,3.8,3.65,3.5,pujian
16650102,3.62,3.67,3.65,3.27,pujian
16650106,3.71,3.37,3.76,3.55,pujian
16650114,3.57,3.59,3.72,3.69,pujian
16650115,3.5,3.39,3.72,3.69,pujian
16650119,3.71,3.54,3.61,3.73,pujian
16650130,3.43,3.48,3.44,3.65,pujian
14650009,3.55,3.31,3.42,3.59,sangat memuaskan
14650013,3.67,3.66,3.25,3.56,sangat memuaskan
14650014,3.6,3.48,3.36,3.42,sangat memuaskan
14650018,3.57,3.32,3.69,3.71,sangat memuaskan
14650029,3.55,3.46,3.44,3.35,sangat memuaskan
14650035,3.69,3.61,3.75,3.56,sangat memuaskan
14650037,3.69,3.52,3.46,3.5,sangat memuaskan
14650058,3.55,3.46,3.38,3.48,sangat memuaskan
14650070,3.57,3.56,3.36,3.56,sangat memuaskan
14650082,3.67,3.48,3.65,3.75,sangat memuaskan
14650089,3.57,3.34,3.23,3.19,sangat memuaskan
15650004,3.57,3.35,3.05,3.48,sangat memuaskan
15650009,3.43,3.09,3.48,3.6,sangat memuaskan
15650031,3.55,3.16,3.38,3.14,sangat memuaskan
15650032,3.55,3.48,3.65,3.92,sangat memuaskan
15650037,3.48,3.57,3.38,3.6,sangat memuaskan
15650047,3.67,3.43,3.39,3.42,sangat memuaskan
15650049,3.62,3.57,3.33,3.48,sangat memuaskan
15650058,3.69,3.68,3.83,3.67,sangat memuaskan
15650080,3.5,3.45,3.3,3.33,sangat memuaskan
15650101,3.43,2.83,3.14,3.5,sangat memuaskan
15650102,3.67,2.94,3.45,3.35,sangat memuaskan
16650006,2.86,3.43,3.35,3.48,sangat memuaskan
